date,mrr_forecast,lower_ci,upper_ci
2025-09-01,0.0,-1228512.4157254265,1228512.4157254265
2025-10-01,0.0,-1228512.4157254265,1228512.4157254265
2025-11-01,0.0,-1228512.4157254265,1228512.4157254265
2025-12-01,0.0,-1228512.4157254265,1228512.4157254265
2026-01-01,0.0,-1228512.4157254265,1228512.4157254265
2026-02-01,0.0,-1228512.4157254265,1228512.4157254265
2026-03-01,0.0,-1228512.4157254265,1228512.4157254265
2026-04-01,0.0,-1228512.4157254265,1228512.4157254265
2026-05-01,0.0,-1228512.4157254265,1228512.4157254265
2026-06-01,0.0,-1228512.4157254265,1228512.4157254265
2026-07-01,0.0,-1228512.4157254265,1228512.4157254265
2026-08-01,0.0,-1228512.4157254265,1228512.4157254265
